carat,color,price
0.52,E,1886
0.71,J,1362
1.02,E,4398
1.11,E,4969
0.41,E,997
1.01,F,3886
1.35,F,10962
0.45,G,1327
1.01,J,4153
0.91,H,5411
1,G,5152
0.37,D,1764
0.58,G,2071
0.3,F,605
0.31,E,698
0.31,G,462
1.36,I,5963
0.34,E,765
0.3,H,491
1.07,G,7611
1.02,F,7197
0.42,D,1103
1.03,F,10546
2.26,I,16241
1.01,G,6354
0.51,E,1795
0.28,E,625
0.43,E,1304
0.64,D,2297
0.91,H,3180
0.72,J,2279
0.3,D,914
0.32,H,730
1.02,E,7503
0.72,F,3816
0.9,D,3013
1.54,G,16169
0.38,F,640
0.34,I,495
1.01,H,4513
1.01,G,6368
0.41,I,753
1.26,G,9032
0.9,I,2857
0.7,J,1979
0.31,E,816
0.7,I,2513
0.24,F,492
1.47,I,6742
0.75,G,2631
0.3,E,1013
2.01,I,16287
0.72,D,3219
0.33,G,1114
0.36,E,852
0.41,G,1061
1,G,5940
0.9,I,3099
1.03,H,5005
2.04,I,8408
0.8,G,2550
1.19,I,5747
0.41,D,1413
0.36,E,887
1.5,I,9354
0.42,G,1179
1.25,G,8736
0.9,H,3629
0.32,F,716
0.7,E,3248
1.1,I,4878
0.7,E,2818
0.93,H,4218
1.51,G,14507
0.6,F,1599
0.3,F,641
0.39,I,750
0.93,I,4033
1.01,H,4836
0.31,D,734
0.9,D,7393
1.32,I,6810
0.71,G,3431
1.02,J,2611
0.53,E,1653
0.32,G,730
0.72,H,2198
1.12,G,8721
1.2,F,8990
1,F,4269
0.5,F,1654
0.4,G,1097
0.24,F,492
0.57,G,2612
0.81,E,3913
1.73,F,16975
1.79,H,14904
0.32,J,540
0.53,F,2658
1.01,G,4176
1.01,G,5273
0.83,F,3207
1.07,G,6644
0.55,E,2001
0.3,E,1013
0.34,G,765
1.11,H,4578
0.51,F,1552
0.82,F,2867
2,E,16462
0.5,H,1626
0.5,F,851
1.25,D,7924
0.26,I,427
1.32,H,6520
1.53,H,13369
0.3,F,886
0.29,E,664
2.02,J,11463
1.51,E,12224
0.9,J,2873
1.27,I,3732
0.5,D,1436
0.83,G,2259
0.5,E,1090
0.31,E,1214
0.36,H,764
0.35,E,851
0.7,H,2536
0.65,G,1712
0.75,E,2278
0.64,F,2189
1.02,G,5016
1.05,G,3898
0.3,J,351
0.51,E,1443
1.51,D,17111
0.9,D,4362
0.9,F,4504
0.4,D,1206
0.7,G,2232
0.92,D,4168
0.9,E,4209
0.63,J,1181
0.51,E,1781
2.01,H,15773
1.04,D,5557
0.41,G,891
0.8,J,1838
1.34,G,9401
0.41,E,705
0.31,F,1140
0.34,I,447
0.7,E,4114
0.9,D,4304
0.38,I,633
2.1,G,6597
0.31,E,872
2.14,I,15913
0.31,E,639
0.3,G,487
0.31,J,335
0.41,D,683
0.41,D,846
1.38,F,15968
0.51,F,2195
0.7,E,2092
0.63,F,2644
0.9,D,4382
0.53,H,1015
0.39,G,743
1.54,E,12779
0.33,I,579
2.2,I,13512
1,H,3874
0.36,D,1094
1.1,H,5729
0.59,E,2578
0.34,E,765
0.37,G,1073
0.33,E,1103
1.05,J,4364
0.91,F,4437
0.23,E,391
0.24,F,478
0.43,G,1433
0.74,E,2906
1.51,E,13623
1,E,6043
0.31,H,687
1.01,G,6449
2.02,J,12736
0.5,D,1758
0.6,G,2190
1.01,J,3462
2.22,I,18531
0.3,F,641
0.76,H,2838
0.41,D,683
0.74,E,2002
1.01,F,4412
0.73,F,2087
0.3,F,475
0.3,G,764
1.31,G,9296
1.52,E,16636
2.01,I,16383
0.51,E,1237
1.05,G,6181
1.21,G,7996
0.41,G,1061
0.5,E,1354
1.01,F,6533
0.7,E,2616
0.54,G,1422
0.34,F,1003
0.65,D,2387
1.7,D,17485
0.7,H,2364
0.27,F,760
1.01,G,4064
1.05,G,4116
1.21,H,7426
2.01,H,13929
0.58,F,2340
0.33,G,666
0.3,G,605
1.03,D,4478
0.51,E,1180
0.31,E,544
0.31,E,558
0.4,H,1035
0.43,G,903
1.2,F,10173
0.27,F,518
0.7,E,2473
1.06,G,6809
0.9,D,4304
0.31,F,583
0.63,E,2156
0.96,H,4136
0.3,G,422
2,G,14918
1.06,G,6728
0.7,E,3063
1.35,G,5167
0.51,F,1744
0.91,G,3376
1.5,F,14199
0.35,I,606
2.04,H,12454
0.64,F,3217
0.44,G,990
0.59,D,1419
0.41,F,1107
0.7,H,2427
0.9,I,2761
2.03,H,7421
1.1,I,4083
1.17,F,8072
2.01,J,9793
0.32,H,505
0.23,E,682
0.56,D,1723
0.34,G,775
0.5,J,965
0.51,E,2146
0.32,H,393
1.5,H,11088
0.3,D,447
0.94,H,4548
0.37,E,692
1.01,G,5759
0.36,G,1163
2.15,H,12458
0.53,H,1268
1.01,G,6295
0.9,E,3917
1.5,H,11557
0.42,I,865
1.01,D,8943
1.01,D,8065
1.01,E,5882
0.51,G,1091
0.5,G,1935
0.73,G,4142
0.3,H,526
1.26,I,5398
0.71,E,2271
0.71,D,3135
0.34,I,668
1.01,D,5939
0.7,H,1865
0.51,E,1989
0.32,G,828
0.57,G,1214
1.51,F,7441
0.9,G,4455
0.42,H,1216
0.9,F,4657
0.31,D,942
0.32,E,702
0.52,G,1911
0.56,D,1963
0.7,E,3585
1.02,H,4796
1.01,H,5166
1.19,E,7037
0.33,J,403
0.63,F,1932
1.51,H,9218
0.33,F,1014
0.5,H,1648
